lat,long,depth,mag,stations
-38.44,168.62,49,5.6,45
-35.72,174.63,304,5.3,130
-29.82,186.39,477,4.2,32
-16.09,176.27,286,4.4,52
-11.78,165.97,585,5.4,15
-16.57,172.02,538,4.7,120
-19.34,166.67,168,6.3,78
-24.06,166.49,640,6.0,52
-36.17,171.86,644,6.4,34
-11.89,171.86,366,4.6,27
-17.45,183.35,443,6.3,71
-20.78,187.56,668,5.0,22
-17.44,174.01,645,4.8,52
-18.41,175.3,650,4.1,87
-20.83,184.64,664,4.1,37
-11.26,171.69,398,5.7,27
-13.41,169.18,642,5.1,68
-20.57,184.83,56,4.5,69
-19.27,166.71,313,5.5,72
-37.15,179.59,155,4.6,66
-19.92,178.29,130,5.4,101
-37.36,173.44,121,4.9,60
-22.2,172.75,363,6.0,65
-10.74,183.01,153,6.0,36
-23.1,167.61,97,5.1,41
-25.4,170.99,193,4.8,120
-29.87,182.12,443,4.9,18
-35.23,177.99,667,5.9,113
-18.22,168.54,305,4.8,105
-33.22,185.48,354,4.5,93
-35.38,174.51,80,4.2,101
-26.84,184.26,144,5.1,106
-16.42,183.36,232,5.2,77
-17.83,179.69,440,6.0,55
-37.06,176.78,317,4.5,130
-25.91,187.67,393,4.9,107
-24.03,168.93,619,5.9,121
-20.63,181.96,295,6.0,76
-20.47,169.96,138,4.9,35
-28.43,173.27,627,5.1,17
-22.96,172.6,321,4.7,15
-25.18,186.94,442,6.2,89
-13.93,187.4,148,4.3,33
-23.81,169.78,238,6.2,57
-26.3,166.16,342,5.6,112
-27.32,181.84,366,5.3,103
-22.64,175.06,193,4.1,54
-16.18,167.67,591,5.1,22
-23.58,181.03,444,5.0,78
-20.15,177.91,501,4.4,34
-18.03,187.69,171,5.6,29
-24.09,170.78,123,6.3,127
-26.69,174.74,438,5.3,91
-14.16,177.86,667,5.7,120
-26.95,183.45,148,4.2,91
-25.72,178.0,260,5.0,75
-10.99,179.44,592,4.3,83
-38.58,170.75,407,5.5,128
-33.42,184.69,186,6.3,54
-27.89,175.3,151,5.6,123
-12.6,168.84,654,4.2,56
-36.64,180.59,597,4.9,72
-38.33,170.52,533,5.3,85
-37.12,167.86,544,5.0,120
-36.12,185.03,514,6.0,86
-37.54,176.01,310,6.0,123
-25.22,182.5,460,5.5,120
-22.4,172.2,406,4.9,130
-31.02,183.35,319,4.6,64
-27.49,168.18,322,4.3,84
-36.03,173.67,79,4.9,28
-29.22,187.64,228,5.0,44
-24.03,183.5,203,5.6,112
-18.18,176.84,575,5.6,62
-38.5,173.3,575,4.2,35
-25.57,185.26,43,4.9,119
-30.31,177.91,329,4.4,23
-14.82,182.7,472,4.4,127
-18.65,182.61,510,6.0,54
-22.17,166.07,220,4.1,53
-30.86,168.51,287,5.0,97
-13.22,180.49,667,4.4,114
-37.33,169.3,318,6.1,74
-35.54,171.41,620,5.3,60
-27.68,186.93,293,4.6,52
-35.12,178.25,220,5.2,128
-11.93,182.53,548,5.8,95
-16.35,178.2,605,6.3,32
-31.37,178.08,365,4.5,65
-22.19,167.78,396,6.1,127
-11.21,173.39,430,6.2,28
-13.95,172.01,654,6.2,91
-21.85,174.45,124,5.5,85
-13.4,183.6,356,5.5,64
-11.02,174.02,251,5.0,101
-17.87,175.82,554,5.8,101
-36.78,174.6,423,5.3,69
-27.4,167.77,381,5.6,68
-15.24,175.58,77,5.0,42
-32.16,170.06,550,5.8,28
-15.44,169.86,459,6.0,37
-35.24,167.78,208,4.4,61
-37.28,173.68,382,6.0,58
-27.89,182.68,345,5.3,46
-37.57,171.88,581,6.0,35
-11.91,172.69,576,5.0,108
-15.56,180.1,151,4.9,107
-16.27,170.07,450,6.2,108
-21.04,185.82,245,4.6,49
-32.56,177.35,224,6.0,89
-24.15,175.72,421,5.2,47
-21.94,178.2,535,5.2,86
-23.96,169.4,418,4.7,96
-31.34,179.45,86,5.4,63
-24.23,173.83,590,4.8,31
-24.9,185.82,567,4.1,25
-10.82,169.46,543,4.7,37
-13.58,177.06,61,4.0,121
-25.68,179.1,252,6.3,44
-21.23,166.42,349,6.3,69
-17.75,173.84,311,4.9,54
-37.62,182.12,610,5.7,55
-13.65,184.1,241,4.8,81
-14.62,172.7,71,5.6,117
-25.84,183.61,482,5.9,64
-27.69,187.41,201,6.3,128
-30.98,184.92,293,5.0,95
-25.31,168.31,560,5.9,94
-37.35,182.28,519,4.6,35
-14.84,172.85,49,6.4,113
-37.6,187.87,544,4.1,94
-29.42,176.57,599,5.4,34
-12.63,168.42,475,5.6,114
-18.1,181.96,150,5.7,74
-30.75,172.92,192,4.3,15
-31.55,188.06,674,6.3,32
-38.45,187.68,141,4.4,124
-19.2,180.41,230,5.5,73
-37.23,168.59,602,4.5,96
-23.75,181.1,120,4.7,52
-11.78,167.76,528,5.3,116
-35.54,166.33,127,5.0,32
-13.66,184.15,233,4.4,105
-10.96,170.38,143,4.4,39
-36.88,174.18,135,5.0,86
-13.98,187.53,462,5.8,116
-24.21,173.24,237,6.2,27
-13.33,172.33,40,4.2,96
-22.67,186.29,446,4.9,88
-20.14,168.16,417,4.2,106
-23.43,182.73,206,4.0,30
-14.5,187.86,548,5.6,66
-18.14,185.91,677,5.4,112
-24.06,180.31,352,4.4,32
-14.39,172.72,632,4.6,100
-31.75,171.38,457,4.1,54
-34.2,184.07,516,6.0,53
-34.12,185.43,112,6.3,91
-29.28,177.47,180,4.3,97
-31.94,171.16,621,4.6,124
-12.67,168.21,301,6.1,56
-35.64,167.63,379,6.2,49
-19.11,181.82,347,5.0,60
-33.32,175.11,284,4.1,51
-14.02,186.0,554,4.1,16
-11.8,182.28,376,5.4,59
-25.62,169.97,614,4.9,57
-14.09,179.46,600,4.1,93
-38.45,175.45,115,5.4,100
-15.74,178.64,214,4.0,15
-32.22,182.25,148,5.9,100
-13.26,183.78,222,4.7,18
-38.56,184.62,231,4.1,126
-23.09,171.37,104,5.4,118
-17.5,166.37,513,5.0,66
-31.38,182.27,139,6.3,40
-33.21,168.06,583,5.3,30
-36.25,172.74,167,4.7,99
-29.49,165.76,491,5.7,49
